1	1.008
2	4.003
3	6.941
4	9.012
5	10.811
6	12.011
7	14.007
8	15.999
9	18.998
10	20.18
11	22.99
12	24.305
13	26.982
14	28.086
15	30.974
16	32.065
17	35.453
18	39.948
19	39.098
20	40.078
21	44.956
22	47.867
23	50.942
24	51.996
25	54.938
26	55.845
27	58.933
28	58.693
29	63.546
30	65.39
31	69.723
32	72.64
33	74.922
34	78.96
35	79.904
36	83.8
37	85.468
38	87.62
39	88.906
40	91.224
41	92.906
42	95.94
43	98
44	101.07
45	102.906
46	106.42
47	107.868
48	112.411
49	114.818
50	118.71
51	121.76
52	127.6
53	126.905
54	131.293
55	132.906
56	137.327
57	138.906
58	140.116
59	140.908
60	144.24
61	145
62	150.36
63	151.964
64	157.25
65	158.925
66	162.5
67	164.93
68	167.259
69	168.934
70	173.04
71	174.967
72	178.49
73	180.948
74	183.84
75	186.207
76	190.23
77	192.217
78	195.078
79	196.967
80	200.59
81	204.383
82	207.2
83	208.98
84	209
85	210
86	222
87	223
88	226
89	227
90	232.038
91	231.036
92	238.029
93	237
94	244
95	243
96	247
97	247
98	251
99	252
100	257
101	258
102	259
103	262
104	261
105	262
106	266
107	264
108	277
109	268
